,Active_School_Zone_Fl,Active_School_Zone_Fl_01,Amend_Supp_Fl,Amend_Supp_Fl_01,At_Intrsct_Fl,At_Intrsct_Fl_01,Cmv_Involv_Fl,Cmv_Involv_Fl_01,CrashDateFormated,Crash_Date,Crash_Fatal_Fl,Crash_Fatal_Fl_01,Crash_ID,Crash_Speed_Limit,Crash_Time,Day_of_Week,Death_Cnt,Hwy_Nbr,Hwy_Nbr_2,Hwy_Sys,Hwy_Sys_2,Incap_Injry_Cnt,Investigat_Arrv_Time,Investigat_Comp_Fl,Investigat_Comp_Fl_01,Investigat_Notify_Meth,Investigat_Notify_Time,Latitude,Local_Use,Located_Fl,Located_Fl_01,Longitude,Medical_Advisory_Fl,Medical_Advisory_Fl_01,Non_Injry_Cnt,Nonincap_Injry_Cnt,ORI_Number,Onsys_Fl,Onsys_Fl_01,Poss_Injry_Cnt,Private_Dr_Fl,Private_Dr_Fl_01,Report_Date,Road_Constr_Zone_Fl,Road_Constr_Zone_Fl_01,Road_Constr_Zone_Wrkr_Fl,Road_Constr_Zone_Wrkr_Fl_01,Rpt_Block_Num,Rpt_Hwy_Num,Rpt_Latitude,Rpt_Longitude,Rpt_Outside_City_Limit_Fl,Rpt_Outside_City_Limit_Fl_01,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Nbr,Rpt_Ref_Mark_Offset_Amt,Rpt_Sec_Block_Num,Rpt_Sec_Hwy_Num,Rpt_Sec_Street_Desc,Rpt_Sec_Street_Name,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Sfx,Rpt_Street_Desc,Rpt_Street_Name,Rpt_Street_Pfx,Rpt_Street_Sfx,Rr_Relat_Fl,Rr_Relat_Fl_01,Rural_Fl,Rural_Fl_01,Schl_Bus_Fl,Schl_Bus_Fl_01,Street_Name,Street_Name_2,Street_Nbr,Thousand_Damage_Fl,Thousand_Damage_Fl_01,Toll_Road_Fl,Toll_Road_Fl_01,Tot_Injry_Cnt,Txdot_Rptable_Fl,Txdot_Rptable_Fl_01,Unkn_Injry_Cnt
1330,N,0,N,0,N,0,N,0,2013-04-10 12:45:00,4/10/2013,N,0,13227269,30,12:45 PM,WED,0,,,,,0,12:51 PM,Y,1,DISPATCH,12:45 PM,,,N,0,,N,0,4,0,TX1520200,N,0,1,N,0,4/10/2013,N,0,N,0,5400,,,,N,0,,,,,800,,54TH STREET,54TH,,ST,,AVE,,,N,0,N,0,N,0,AVE,,,Y,1,N,0,1,Y,1,0
1409,N,0,N,0,N,0,N,0,2013-04-11 06:58:00,4/11/2013,N,0,13237033,40,6:58 AM,THU,0,,,,,0,7:04 AM,Y,1,DISPATCHED,6:59 AM,,,N,0,,N,0,3,0,TX1012500,N,0,0,N,0,4/11/2013,N,0,N,0,1600,,,,N,0,,,,,600,,,W BAY AREA,,BLVD,,N TEXAS,,AVE,N,0,N,0,N,0,N TEXAS AVE,,,Y,1,N,0,0,Y,1,0
1461,N,0,N,0,Y,1,N,0,2013-04-18 15:38:00,4/18/2013,N,0,13243247,30,3:38 PM,THU,0,,,,,0,3:42 PM,Y,1,DISPATCH,3:39 PM,,,N,0,,N,0,1,0,TX0840400,N,0,1,N,0,4/18/2013,N,0,N,0,6,,,,N,0,,,,,,,TWO LANE ROADWAY,AVE F,,,FOUR LANE ROADWAY,STREET,,,N,0,N,0,N,0,STREET,AVE F,,Y,1,N,0,1,Y,1,0
1506,N,0,N,0,N,0,N,0,2013-04-19 18:00:00,4/19/2013,N,0,13248937,30,6:00 PM,FRI,0,,,,,0,6:30 PM,Y,1,LCSO,6:04 PM,31.369515399999997,,Y,1,-96.30177819,N,0,2,0,,N,0,1,N,0,4/21/2013,N,0,N,0,,368,31.36952,-96.30178000000001,Y,1,,,,,,,,3195,,,,NOT REPORTED,,,N,0,Y,1,N,0,COUNTY ROAD 368,,,Y,1,N,0,1,Y,1,0
1558,N,0,N,0,N,0,N,0,2013-04-25 16:47:00,4/25/2013,N,0,13255089,0,4:47 PM,THU,0,,,,,0,4:50 PM,Y,1,DISPATCHED,4:47 PM,,,N,0,,N,0,8,1,TX2270100,N,0,0,Y,1,4/25/2013,N,0,N,0,2400,,,,N,0,,,,,,,,OLTORF,,ST,,CONGRESS,S,AVE,N,0,N,0,N,0,S CONGRESS AVE,,,Y,1,N,0,1,N,0,0
1855,N,0,N,0,N,0,N,0,2013-05-21 09:08:00,5/21/2013,N,0,13291989,50,9:08 AM,TUE,0,,,,,0,9:10 AM,Y,1,DISPATCH,9:08 AM,,,N,0,,N,0,2,0,TX2200400,N,0,0,N,0,5/21/2013,Y,1,N,0,6200,,,,N,0,,,,,4200,,,BRYANT IRVIN,,,,SW,,BLVD,N,0,N,0,N,0,SW BLVD,BRYANT IRVIN,,Y,1,N,0,0,Y,1,0
1858,N,0,N,0,N,0,Y,1,2013-05-13 07:37:00,5/13/2013,N,0,13292312,30,7:37 AM,MON,0,,,,,0,7:50 AM,Y,1,DISPATCH,7:37 AM,,,N,0,,N,0,9,0,TX1016700,N,0,0,N,0,5/13/2013,N,0,N,0,1200,,,,N,0,,,,,24000,,,BAY HILL,,BLVD,,SAND PINES,,DR,N,0,N,0,Y,1,SAND PINES DR,,,Y,1,N,0,0,Y,1,0
1871,N,0,N,0,Y,1,N,0,2013-05-19 21:15:00,5/19/2013,N,0,13298900,35,9:15 PM,SUN,0,,,,,0,9:20 PM,Y,1,DISPATCH,9:15 PM,,,N,0,,N,0,5,0,TX0840400,N,0,0,N,0,5/19/2013,N,0,N,0,27,,,,N,0,,,,,,,2 LANE NOT DIVIDED,AVE O HALF,,,2 LANE NOT DIVIDED,STREET,,,N,0,N,0,N,0,STREET,AVE O HALF,,Y,1,N,0,0,Y,1,0
1922,N,0,N,0,N,0,N,0,2013-03-29 18:48:00,3/29/2013,N,0,13368954,15,6:48 PM,FRI,0,,,,,0,6:52 PM,Y,1,DISPATCHED,6:48 PM,,,N,0,,N,0,0,0,TX1780200,N,0,0,N,0,3/29/2013,N,0,N,0,14600,,,,N,0,,,,,14600,,,ZAHN,,RD,,GULF BEACH,,RD,N,0,N,0,N,0,GULF BEACH RD,,,Y,1,N,0,0,Y,1,1
2015,N,0,N,0,N,0,N,0,2013-05-25 16:14:00,5/25/2013,N,0,13297642,20,4:14 PM,SAT,0,,,,,0,4:24 PM,Y,1,RADIO,4:14 PM,,,N,0,,N,0,1,0,TX0840000,N,0,0,N,0,5/25/2013,N,0,N,0,,,,,Y,1,,,,,393,,939 ALMA STREET DRIVEWAY,ALMA,,ST,ASPHALT,ALMA STREET,,,N,0,Y,1,N,0,ALMA STREET,,,N,0,N,0,0,N,0,0
